"","num_authors","pub_year","subject","title","journal_name","abbrev_journal_name","section","p-values","symbols"
"13",6,"2016","Clinical Article","Comparison of Endovascular Treatments of Ruptured Dissecting Aneurysms of the Intracranial Internal Carotid Artery and Vertebral Artery with a Review of the Literature","Journal of Korean Neurosurgical Society","J Korean Neurosurg Soc","result",NA,NA
"14",6,"2014","Original Research","Patient-controlled analgesia in the pediatric population: morphine versus hydromorphone","Journal of Pain Research","J Pain Res","result",8e-04,"="
"15",6,"2014","1004","Mechanosensitive channels and bacterial cell wall integrity: does life end with a bang or a whimper?","Journal of the Royal Society Interface","J R Soc Interface","result",NA,NA
"16",3,"2014","Original Article","A Cancer Cell-Activatable Aptamer-Reporter System for One-Step Assay of Circulating Tumor Cells","Molecular Therapy. Nucleic Acids","Mol Ther Nucleic Acids","result",NA,NA
"17",2,"2015","Health Equity Research Series","Leadership and Cultural Competence of Healthcare Professionals","Nursing Research","Nurs Res","result",NA,NA
"18",13,"2015","Research Paper","MicroRNA-451 regulates stemness of side population cells via PI3K/Akt/mTOR signaling pathway in multiple myeloma","Oncotarget","Oncotarget","result",0.05,"<"
"19",6,"2016","Research Paper","Identification of extracellular vesicle-borne periostin as a feature of muscle-invasive bladder cancer","Oncotarget","Oncotarget","result",0.033,"<"
"20",5,"2012","Poster Presentation","Cartilage-protective effects of C-type natriuretic peptide over expression in K/BxN TCR arthritis model","Pediatric Rheumatology Online Journal","Pediatr Rheumatol Online J","result",0.05,"<"
"21",4,"2015","Research Article","Plant Fertilization Interacts with Life History: Variation in Stoichiometry and Performance in Nettle-Feeding Butterflies","PLoS ONE","PLoS ONE","result",0.001,"<"
"22",10,"2016","Research Article","Climatic warming destabilizes forest ant communities","Science Advances","Sci Adv","result",0.05,"<"
"23",6,"2014","Article","Ordering Ag nanowire arrays by spontaneous spreading of volatile droplet on solid surface","Scientific Reports","Sci Rep","result",NA,NA
"24",4,"2016","Article","Evolutionary pressures on microbial metabolic strategies in the chemostat","Scientific Reports","Sci Rep","result",NA,NA
"25",9,"2008","Research","Upper abdominal body shape is the risk factor for postoperative pancreatic fistula after splenectomy for advanced gastric cancer: A retrospective study","World Journal of Surgical Oncology","NA","result",0.002,"="
"26",4,"2015","Research Article","New records of the rare calcareous spongeParagrantiawaguensisHôzawa, 1940","ZooKeys","Zookeys","result",NA,NA
"27",2,"2010","Research article","Patient relevant outcome 7 years after total hip replacement for OA - a prospective study","BMC Musculoskeletal Disorders","NA","abstract",1e-04,"<"
"28",7,"2016","Research","Very large treatment effects in randomised trials as an empirical marker to indicate whether subsequent trials are necessary: meta-epidemiological assessment","The BMJ","BMJ","abstract",0.05,"<"
"29",3,"2008","Original Research","G-Protein Inwardly Rectifying Potassium Channel 1 (GIRK1) Knockdown Decreases Beta-Adrenergic, MAP Kinase and Akt Signaling in the MDA-MB-453 Breast Cancer Cell Line","Breast Cancer : Basic and Clinical Research","NA","abstract",NA,NA
"30",5,"2016","Original Article","Effect of a Chitosan Gel on Hemostasis and Prevention of Adhesion After Endoscopic Sinus Surgery","Clinical and Experimental Otorhinolaryngology","Clin Exp Otorhinolaryngol","abstract",0.001,"<"
"31",5,"2001","Meeting Abstract","Evaluation of early and late histamine release by three standard volume substitutes","Critical Care","Crit Care","abstract",NA,NA
"32",7,"2014","Complications","Hydrogen Sulfide Improves Wound Healing via Restoration of Endothelial Progenitor Cell Functions and Activation of Angiopoietin-1 in Type 2 Diabetes","Diabetes","Diabetes","abstract",NA,NA
"33",8,"2014","Short Communication","Cross‐reactivity of hepatitis C virus specific vaccine‐induced T cells at immunodominant epitopes","European Journal of Immunology","Eur. J. Immunol","abstract",NA,NA
"34",9,"2016","Original Article","Usage and Attitudes Towards Natural Remedies and Homeopathy in General Pediatrics","Global Pediatric Health","Glob Pediatr Health","abstract",NA,NA
"35",12,"2013","Supplement 1, 2013","HPV genotypes detected in cervical cancers from Alaska Native women, 1980–2007","International Journal of Circumpolar Health","Int J Circumpolar Health","abstract",NA,NA
"36",6,"2009","Review","Male breast cancer: thirteen years experience of a single center","International Seminars in Surgical Oncology : ISSO","NA","abstract",NA,NA
"37",8,"2015","Poster Presentation","Dynamics of the dosage of citrate-calciuminfusion regimens as anticoagulation in continuous venovenous hemodiafiltration","Intensive Care Medicine Experimental","Intensive Care Med Exp","abstract",NA,NA
"38",8,"2012","Original Articles","PV1 down-regulationviashRNA inhibits the growth of pancreatic adenocarcinoma xenografts","Journal of Cellular and Molecular Medicine","J. Cell. Mol. Med","abstract",NA,NA
"39",6,"2016","Clinical Article","Comparison of Endovascular Treatments of Ruptured Dissecting Aneurysms of the Intracranial Internal Carotid Artery and Vertebral Artery with a Review of the Literature","Journal of Korean Neurosurgical Society","J Korean Neurosurg Soc","abstract",NA,NA
"40",6,"2014","Original Research","Patient-controlled analgesia in the pediatric population: morphine versus hydromorphone","Journal of Pain Research","J Pain Res","abstract",8e-04,"="
"41",6,"2014","1004","Mechanosensitive channels and bacterial cell wall integrity: does life end with a bang or a whimper?","Journal of the Royal Society Interface","J R Soc Interface","abstract",NA,NA
"42",3,"2014","Original Article","A Cancer Cell-Activatable Aptamer-Reporter System for One-Step Assay of Circulating Tumor Cells","Molecular Therapy. Nucleic Acids","Mol Ther Nucleic Acids","abstract",NA,NA
"43",2,"2015","Health Equity Research Series","Leadership and Cultural Competence of Healthcare Professionals","Nursing Research","Nurs Res","abstract",NA,NA
"44",13,"2015","Research Paper","MicroRNA-451 regulates stemness of side population cells via PI3K/Akt/mTOR signaling pathway in multiple myeloma","Oncotarget","Oncotarget","abstract",NA,NA
"45",6,"2016","Research Paper","Identification of extracellular vesicle-borne periostin as a feature of muscle-invasive bladder cancer","Oncotarget","Oncotarget","abstract",NA,NA
"46",5,"2012","Poster Presentation","Cartilage-protective effects of C-type natriuretic peptide over expression in K/BxN TCR arthritis model","Pediatric Rheumatology Online Journal","Pediatr Rheumatol Online J","abstract",NA,NA
"47",4,"2015","Research Article","Plant Fertilization Interacts with Life History: Variation in Stoichiometry and Performance in Nettle-Feeding Butterflies","PLoS ONE","PLoS ONE","abstract",NA,NA
"48",10,"2016","Research Article","Climatic warming destabilizes forest ant communities","Science Advances","Sci Adv","abstract",NA,NA
"49",6,"2014","Article","Ordering Ag nanowire arrays by spontaneous spreading of volatile droplet on solid surface","Scientific Reports","Sci Rep","abstract",NA,NA
"50",4,"2016","Article","Evolutionary pressures on microbial metabolic strategies in the chemostat","Scientific Reports","Sci Rep","abstract",NA,NA
"51",9,"2008","Research","Upper abdominal body shape is the risk factor for postoperative pancreatic fistula after splenectomy for advanced gastric cancer: A retrospective study","World Journal of Surgical Oncology","NA","abstract",0.002,"="
"52",4,"2015","Research Article","New records of the rare calcareous spongeParagrantiawaguensisHôzawa, 1940","ZooKeys","Zookeys","abstract",NA,NA
