"","Abbreviation","Title","FoR1","FoR.method","FoRCode","Category"
"15","Acta Neurochir (Wien)","Acta Neurochirurgica: the European journal of neurosurgery","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"16","Acta Neurol Scand","Acta Neurologica Scandinavica","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"17","Acta Neuropathol","Acta Neuropathologica","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"18","Acta Neuropathol Commun","Acta Neuropathologica Commuications","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"19","Acta Obstet Gynecol Scand","Acta Obstetricia et Gynecologica Scandinavica","Paediatrics And Reproductive Medicine","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"20","Acta Odontol Scand","Acta Odontologica Scandinavica","Dentistry","Chosen.by.ERA","Medical and health sciences","Dentistry"
"21","Acta Oncol","Acta Oncologica","Oncology And Carcinogenesis","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"22","Acta Ophthalmol","Acta Ophthalmologica","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"23","Acta Orthop","Acta Orthopaedica","Biomedical Engineering ","Chosen.by.ERA","Engineering","Biomedical Engineering"
"24","Acta Ortop Bras","Acta Ortopedica Brasileira","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"25","Acta Otolaryngol","Acta Oto-Laryngologica","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"26","Acta Paediatr","Acta Paediatrica: promoting child health","Paediatrics And Reproductive Medicine","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"27","Acta Physiol (Oxf)","Acta Physiologica","Human Movement And Sports Science","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"28","Acta Psychol (Amst)","Acta Psychologica","Psychology","Chosen.by.ERA","Psychology and cognitive sciences","Psychology and sociology"
"29","Acta Radiol","Acta Radiologica","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"30","Acta Radiol Short Rep","Acta Radiologica Short Reports","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"31","Acta Theriol (Warsz)","Acta Theriologica","Zoology","Chosen.by.ERA","Biological sciences","Zoology"
"32","Acta Trop","Acta Tropica","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"33","Acta Vet Scand","Acta Veterinaria Scandinavica","Animal Production","Chosen.by.ERA","Agricultural and veterinary sciences","Animal, veterinary and agricultural science"
"34","Acupunct Med","Acupuncture in medicine","Complementary And Alternative Medicine","Chosen.by.ERA","Medical and health sciences","Complementary And Alternative Medicine"
"35","Addict Behav","Addictive Behaviors","Psychology","Chosen.by.ERA","Psychology and cognitive sciences","Psychology and sociology"
"36","Addict Biol","Addiction Biology","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"37","Addict Sci Clin Pract","Addiction Science and Clinical Practice","Public Health And Health Services","Chosen.by.ERA","Medical and health sciences","Public Health And Health Services"
"38","Addiction","Addiction","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"39","Adipocyte","","Biochemistry And Cell Biology","Chosen.by.Luke","Biological sciences","Biochemistry And Cell Biology"
"40","Adm Policy Ment Health","Administration and Policy in Mental Health and Mental Health Services Research","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"41","Adolesc Health Med Ther","Adolescent Health, Medicine and Therapeutics","Paediatrics And Reproductive Medicine","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"42","Adv Bioinformatics","","Mathematical Sciences","Chosen.by.Luke","Mathematical sciences","Informatics, mathematics and physics"
"43","Adv Biomed Res","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"44","Adv Cogn Psychol","Advances in Cognitive Psychology","Psychology","Chosen.by.ERA","Psychology and cognitive sciences","Psychology and sociology"
"45","Adv Exp Med Biol","Advances in Experimental Medicine and Biology","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"46","Adv Health Sci Educ Theory Pract","Advances in Health Sciences Education","Curriculum And Pedagogy ","Chosen.by.ERA","Education","Education"
"47","Adv Hematol","","Cardiovascular Medicine And Haematology","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"48","Adv Med Educ Pract","Advances in Medical Education and Practice","Curriculum And Pedagogy ","Chosen.by.ERA","Education","Education"
"49","Adv Orthop","","Clinical Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"50","Adv Pharmacol Sci","Advances in Pharmacological Sciences","Pharmacology And Pharmaceutical Sciences","Chosen.by.ERA","Medical and health sciences","Pharmacology And Pharmaceutical Sciences"
"51","Adv Physiother","Advances in Physiotherapy","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"52","Adv Prev Med","","Public Health And Health Services","Chosen.by.Luke","Medical and health sciences","Public Health And Health Services"
"53","Adv Ther","Advances in Therapy","Pharmacology And Pharmaceutical Sciences","Chosen.by.ERA","Medical and health sciences","Pharmacology And Pharmaceutical Sciences"
"54","Adv Urol","Advances in Urology","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"55","Adv Virol","Advances in Virus Research","Microbiology ","Chosen.by.ERA","Biological sciences","Microbiology"
"56","Aerobiologia (Bologna)","Aerobiologia","Environmental Sciences","Chosen.by.ERA","Environmental sciences","Ecology, evolution and earth sciences"
"57","Aesthet Surg J","Aesthetic Surgery Journal","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"58","Aesthetic Plast Surg","Aesthetic Plastic Surgery","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"59","Afr J Ecol","African Journal of Ecology","Ecology","Chosen.by.ERA","Biological sciences","Ecology, evolution and earth sciences"
"60","Age (Dordr)","Age","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"61","Age Ageing","Age and Ageing","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"62","Ageing Int","Ageing International: information bulletin of the International Federation on Ageing","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"63","Aging Cell","Aging Cell","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"64","Aging Clin Exp Res","Aging Clinical and Experimental Research","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"65","Aging Male","Aging Male","Psychology","Chosen.by.ERA","Psychology and cognitive sciences","Psychology and sociology"
"66","Aging Ment Health","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"67","Agric","","Agricultural And Veterinary Sciences","Chosen.by.Luke","Agricultural and veterinary sciences","Animal, veterinary and agricultural science"
"68","Agric Ecosyst Environ","Agriculture, Ecosystems and Environment","Environmental Sciences","Chosen.by.ERA","Environmental sciences","Ecology, evolution and earth sciences"
"69","AIDS","AIDS","Biological Sciences","Chosen.by.ERA","Biological sciences","Biological Sciences"
"70","AIDS Behav","AIDS and Behavior","Public Health And Health Services","Chosen.by.ERA","Medical and health sciences","Public Health And Health Services"
"71","AIDS Care","AIDS Care: psychological and socio-medical aspects of AIDS-HIV","Public Health And Health Services","Chosen.by.ERA","Medical and health sciences","Public Health And Health Services"
"72","AIDS Res Ther","AIDS Research and Therapy","Immunology","Chosen.by.ERA","Medical and health sciences","Immunology"
"73","AIDS Res Treat","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"74","Air Qual Atmos Health","Air Quality, Atmosphere and Health","Public Health And Health Services","Chosen.by.ERA","Medical and health sciences","Public Health And Health Services"
"75","Alcohol Alcohol","Alcohol and Alcoholism","Public Health And Health Services","Chosen.by.ERA","Medical and health sciences","Public Health And Health Services"
"76","Algorithms Mol Biol","Algorithms for Molecular Biology","Biological Sciences","Chosen.by.ERA","Biological sciences","Biological Sciences"
"77","Aliment Pharmacol Ther","Alimentary Pharmacology and Therapeutics","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"78","Allergy","Allergy","Immunology","Chosen.by.ERA","Medical and health sciences","Immunology"
"79","Allergy Asthma Clin Immunol","Allergy and Clinical Immunology International","Immunology","Chosen.by.ERA","Medical and health sciences","Immunology"
"80","Allergy Asthma Immunol Res","","Immunology","Chosen.by.Luke","Medical and health sciences","Immunology"
"81","Allergy Asthma Proc","Allergy and Asthma Proceedings","Immunology","Chosen.by.ERA","Medical and health sciences","Immunology"
"82","Allergy Rhinol (Providence)","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"83","Alzheimers Dement","Alzheimer's and Dementia","Neurosciences","Chosen.by.ERA","Medical and health sciences","Neurosciences"
"84","Alzheimers Res Ther","Alzheimer's Research and Therapy","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"85","Am Heart J","American Heart Journal","Cardiovascular Medicine And Haematology","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"86","Am J Cardiol","American Journal of Cardiology","Cardiovascular Medicine And Haematology","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"87","Am J Cardiovasc Drugs","American Journal of Cardiovascular Drugs","Cardiovascular Medicine And Haematology","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"88","Am J Clin Dermatol","American Journal of Clinical Dermatology","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"89","Am J Clin Nutr","American Journal of Clinical Nutrition","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"90","Am J Epidemiol","American Journal of Epidemiology","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"91","Am J Gastroenterol","American Journal of Gastroenterology","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"92","Am J Hematol","American Journal of Hematology","Cardiovascular Medicine And Haematology","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"93","Am J Hum Biol","American Journal of Human Biology","Evolutionary Biology","Chosen.by.ERA","Biological sciences","Ecology, evolution and earth sciences"
"94","Am J Hum Genet","American Journal of Human Genetics","Biological Sciences","Chosen.by.ERA","Biological sciences","Biological Sciences"
"95","Am J Hypertens","American Journal of Hypertension","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"96","Am J Kidney Dis","American Journal of Kidney Diseases","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"97","Am J Med","American Journal of Medicine","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"98","Am J Med Genet A","American Journal of Medical Genetics Part A","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"99","Am J Med Genet B Neuropsychiatr Genet","American Journal of Medical Genetics Part B: Neuropsychiatric Genetics","Genetics ","Chosen.by.ERA","Biological sciences","Genetics"
"100","Am J Obstet Gynecol","American Journal of Obstetrics and Gynecology","Paediatrics And Reproductive Medicine","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"101","Am J Ophthalmol","American Journal of Ophthalmology","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"102","Am J Pathol","American Journal of Pathology","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"103","Am J Phys Anthropol","American Journal of Physical Anthropology","Evolutionary Biology","Chosen.by.ERA","Biological sciences","Ecology, evolution and earth sciences"
"104","Am J Physiol Cell Physiol","American Journal of Physiology: Cell Physiology","Biochemistry And Cell Biology","Chosen.by.ERA","Biological sciences","Biochemistry And Cell Biology"
"105","Am J Physiol Endocrinol Metab","American Journal of Physiology: Endocrinology and Metabolism","Biological Sciences","Chosen.by.ERA","Biological sciences","Biological Sciences"
"106","Am J Physiol Gastrointest Liver Physiol","American Journal of Physiology: Gastrointestinal and Liver Physiology","Physiology ","Chosen.by.ERA","Biological sciences","Physiology"
"107","Am J Physiol Heart Circ Physiol","American Journal of Physiology: Heart and Circulatory Physiology","Physiology ","Chosen.by.ERA","Biological sciences","Physiology"
"108","Am J Physiol Lung Cell Mol Physiol","American Journal of Physiology: Lung Cellular and Molecular Physiology","Physiology ","Chosen.by.ERA","Biological sciences","Physiology"
"109","Am J Physiol Regul Integr Comp Physiol","American Journal of Physiology: Regulatory, Integrative and Comparative Physiology","Biological Sciences","Chosen.by.ERA","Biological sciences","Biological Sciences"
"110","Am J Physiol Renal Physiol","American Journal of Physiology: Renal Physiology","Physiology ","Chosen.by.ERA","Biological sciences","Physiology"
"111","Am J Prev Med","American Journal of Preventive Medicine","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"112","Am J Primatol","American Journal of Primatology","Zoology","Chosen.by.ERA","Biological sciences","Zoology"
"113","Am J Psychiatry","American Journal of Psychiatry","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"114","Am J Rhinol Allergy","American Journal of Rhinology and Allergy","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"115","Am J Surg Pathol","American Journal of Surgical Pathology","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"116","Am J Transplant","American Journal of Transplantation","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"117","Am J Trop Med Hyg","American Journal of Tropical Medicine and Hygiene","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"118","AMB Express","","Microbiology ","Chosen.by.Luke","Biological sciences","Microbiology"
"119","Ambio","Ambio","Multidisciplinary","Chosen.by.ERA","Multidisciplinary","Multidisciplinary"
"120","Amino Acids","Amino Acids","Medical Biochemistry And Metabolomics","Chosen.by.ERA","Medical and health sciences","Biochemistry And Cell Biology"
"121","Amyloid","Amyloid: the journal of protein folding disorders","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"122","Amyotroph Lateral Scler","Amyotrophic Lateral Sclerosis and Other Motor Neuron Disorders","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"123","Amyotroph Lateral Scler Frontotemporal Degener","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"124","An Bras Dermatol","Anais Brasileiros de Dermatologia","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"125","Anal Bioanal Chem","Analytical and Bioanalytical Chemistry","Chemical Sciences","Chosen.by.ERA","Chemical sciences","Chemistry and geology"
"126","Anal Chem Insights","Analytical Chemistry Insights","Analytical Chemistry","Chosen.by.ERA","Chemical sciences","Chemistry and geology"
"127","Anat Cell Biol","","Biological Sciences","Chosen.by.Luke","Biological sciences","Biological Sciences"
"128","Anat Res Int","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"129","Anc Sci Life","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"130","Andrology","Andrologie","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"131","Andrology (Los Angel)","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"132","Anemia","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"133","Anesth Pain Med","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"134","Anesthesiol Res Pract","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"135","Angiogenesis","Angiogenesis","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"136","Anim Behav","Animal Behaviour","Biological Sciences","Chosen.by.ERA","Biological sciences","Biological Sciences"
"137","Anim Cogn","Animal Cognition","Biological Sciences","Chosen.by.ERA","Biological sciences","Biological Sciences"
"138","Anim Genet","Animal Genetics","Veterinary Sciences","Chosen.by.ERA","Agricultural and veterinary sciences","Animal, veterinary and agricultural science"
"139","Animal","Animal: the international journal of animal biosciences","Biological Sciences","Chosen.by.ERA","Biological sciences","Biological Sciences"
"140","Ann Behav Med","Annals of Behavioral Medicine","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"141","Ann Biomed Eng","Annals of Biomedical Engineering","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"142","Ann Clin Biochem","Annals of Clinical Biochemistry","Medical Biochemistry And Metabolomics","Chosen.by.ERA","Medical and health sciences","Biochemistry And Cell Biology"
"143","Ann Clin Microbiol Antimicrob","Annals of Clinical Microbiology and Antimicrobials","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"144","Ann Coloproctol","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"145","Ann Dermatol","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"146","Ann Dyslexia","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"147","Ann Epidemiol","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"148","Ann Gen Hosp Psychiatry","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"149","Ann Gen Psychiatry","Annals of General Psychiatry","Psychology","Chosen.by.ERA","Psychology and cognitive sciences","Psychology and sociology"
"150","Ann Hematol","Annals of Hematology","Cardiovascular Medicine And Haematology","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"151","Ann Hum Biol","Annals of Human Biology","Biochemistry And Cell Biology","Chosen.by.ERA","Biological sciences","Biochemistry And Cell Biology"
"152","Ann Hum Genet","Annals of Human Genetics","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"153","Ann Indian Acad Neurol","Annals of Indian Academy of Neurology","Neurosciences","Chosen.by.ERA","Medical and health sciences","Neurosciences"
"154","Ann Intensive Care","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"155","Ann Lab Med","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"156","Ann Maxillofac Surg","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"157","Ann Med","Annals of Medicine","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"158","Ann Med Health Sci Res","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"159","Ann Microbiol","","Microbiology ","Chosen.by.Luke","Biological sciences","Microbiology"
"160","Ann Neurol","","Neurosciences","Chosen.by.Luke","Medical and health sciences","Neurosciences"
"161","Ann Noninvasive Electrocardiol","Annals of Noninvasive Electrocardiology","Cardiovascular Medicine And Haematology","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"162","Ann Nucl Med","Annals of Nuclear Medicine","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"163","Ann Occup Environ Med","","Clinical Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"164","Ann Occup Hyg","Annals of Occupational Hygiene","Public Health And Health Services","Chosen.by.ERA","Medical and health sciences","Public Health And Health Services"
"165","Ann Oncol","Annals of Oncology","Oncology And Carcinogenesis","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"166","Ann Pediatr Cardiol","Annals of Pediatric Cardiology","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"167","Ann Pediatr Endocrinol Metab","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"168","Ann R Coll Surg Engl","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"169","Ann Rehabil Med","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"170","Ann Rheum Dis","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"171","Ann Saudi Med","Annals of Saudi Medicine","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"172","Ann Surg","Annals of Surgery","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"173","Ann Surg Innov Res","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"174","Ann Surg Oncol","Annals of Surgical Oncology","Oncology And Carcinogenesis","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"175","Ann Surg Treat Res","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"176","Ann Thorac Med","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"177","Antimicrob Agents Chemother","Antimicrobial Agents and Chemotherapy","Microbiology ","Chosen.by.ERA","Biological sciences","Microbiology"
"178","Antimicrob Resist Infect Control","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"179","Antiviral Res","Antiviral Research","Medical Microbiology","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"180","Antonie Van Leeuwenhoek","Antonie van Leeuwenhoek: international journal of general and molecular microbiology","Microbiology ","Chosen.by.ERA","Biological sciences","Microbiology"
"181","AoB Plants","","Plant Biology","Chosen.by.Luke","Biological sciences","Plant Biology"
"182","Aphasiology","Aphasiology","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"183","APMIS","APMIS Supplementum","Medical Microbiology","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"184","Apoptosis","Apoptosis: an international journal on programmed cell death","Biochemistry And Cell Biology","Chosen.by.ERA","Biological sciences","Biochemistry And Cell Biology"
"185","Appetite","Appetite","Multidisciplinary","Chosen.by.ERA","Multidisciplinary","Multidisciplinary"
"186","Appl Anim Behav Sci","Applied Animal Behaviour Science","Zoology","Chosen.by.ERA","Biological sciences","Zoology"
"187","Appl Biochem Biotechnol","Applied Biochemistry and Biotechnology","Biological Sciences","Chosen.by.ERA","Biological sciences","Biological Sciences"
"188","Appl Clin Genet","","Genetics ","Chosen.by.Luke","Biological sciences","Genetics"
"189","Appl Health Econ Health Policy","Applied Health Economics and Health Policy","Applied Economics","Chosen.by.ERA","Economics","Geography, business and economics"
"190","Appl Magn Reson","Applied Magnetic Resonance","Atomic, Molecular, Nuclear, Particle And Plasma Physics","Chosen.by.ERA","Physical sciences","Informatics, mathematics and physics"
"191","Appl Microbiol Biotechnol","Applied Microbiology and Biotechnology","Multidisciplinary","Chosen.by.ERA","Multidisciplinary","Multidisciplinary"
"192","Appl Psychophysiol Biofeedback","Applied Psychophysiology and Biofeedback","Psychology","Chosen.by.ERA","Psychology and cognitive sciences","Psychology and sociology"
"193","Appl Res Qual Life","Applied Research in Quality of Life","Sociology","Chosen.by.ERA","Studies in human society","Psychology and sociology"
"194","Aquat Biosyst","","Biological Sciences","Chosen.by.Luke","Biological sciences","Biological Sciences"
"195","Aquat Toxicol","Aquatic Toxicology","Biological Sciences","Chosen.by.ERA","Biological sciences","Biological Sciences"
"196","Arch Dermatol Res","Archives of Dermatological Research","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"197","Arch Dis Child","Archives of Disease in Childhood","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"198","Arch Dis Child Fetal Neonatal Ed","Archives of Disease in Childhood: Fetal and Neonatal Edition","Paediatrics And Reproductive Medicine","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"199","Arch Drug Inf","Archives of Drug Information","Pharmacology And Pharmaceutical Sciences","Chosen.by.ERA","Medical and health sciences","Pharmacology And Pharmaceutical Sciences"
"200","Arch Environ Contam Toxicol","Archives of Environmental Contamination and Toxicology","Multidisciplinary","Chosen.by.ERA","Multidisciplinary","Multidisciplinary"
"201","Arch Gynecol Obstet","Archives of Gynecology and Obstetrics","Paediatrics And Reproductive Medicine","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"202","Arch Immunol Ther Exp (Warsz)","","Immunology","Chosen.by.Luke","Medical and health sciences","Immunology"
"203","Arch Med Sci","Archives of Medical Science","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"204","Arch Orthop Trauma Surg","Archives of Orthopaedic and Trauma Surgery","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"205","Arch Osteoporos","Archives of Osteoporosis","Complementary And Alternative Medicine","Chosen.by.ERA","Medical and health sciences","Complementary And Alternative Medicine"
"206","Arch Phys Med Rehabil","Archives of Physical Medicine and Rehabilitation","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"207","Arch Plast Surg","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"208","Arch Public Health","Archives of Public Health","Public Health And Health Services","Chosen.by.ERA","Medical and health sciences","Public Health And Health Services"
"209","Arch Sex Behav","Archives of Sexual Behavior: an interdisciplinary research journal","Other Studies In Human Society","Chosen.by.ERA","Studies in human society","Geography, business and economics"
